352,A Game of Unchance,"game of unchance, a",A-Game-Of-Unchance,Philip K.,Dick,11/9/1963,7/1/1964,NULL,12,NULL,https://1999pkdweb.philipdick.com/A%20Game%20Of%20Unchance.htm,0,"A GAME OF UNCHANCE 11/9/63. Amazing, July 1964.","11/9/63. Amazing, July 1964.",11/9/1963,July 1964.,7/1/1964,https://1999pkdweb.philipdick.com/A%20Game%20Of%20Unchance.htm
336,A Glass of Darkness,"glass of darkness, a",A-Glass-Of-Darkness,Philip K.,Dick,,,NULL,12,NULL,https://1999pkdweb.philipdick.com/A%20Glass%20Of%20Darkness.htm,0,,,,,,https://1999pkdweb.philipdick.com/A%20Glass%20Of%20Darkness.htm
376,A Little Something For Us Tempunauts,"little something for us tempunauts, a",A-Little-Something-For-Us-Tempunauts,Philip K.,Dick,2/13/1973,1/1/1974,NULL,12,NULL,https://1999pkdweb.philipdick.com/A%20Little%20Something%20For%20Us%20Tempunauts.htm,0,"A LITTLE SOMETHING FOR US TEMPUNAUTS 2/13/73. Final Stage, edited by Edward L. Ferman and Barry N. Malzberg, New York, 1974.","2/13/73. Final Stage, edited by Edward L. Ferman and Barry N. Malzberg, New York, 1974.",2/13/1973,1974,1/1/1974,https://1999pkdweb.philipdick.com/A%20Little%20Something%20For%20Us%20Tempunauts.htm
309,A Present for Pat,"present for pat, a",A-Present-For-Pat,Philip K.,Dick,1/17/1953,1/1/1954,NULL,12,NULL,https://1999pkdweb.philipdick.com/A%20Present%20For%20Pat.htm,0,"A PRESENT FOR PAT 1/17/53. Startling Stories, Jan 1954.","1/17/53. Startling Stories, Jan 1954.",1/17/1953,Jan 1954.,1/1/1954,https://1999pkdweb.philipdick.com/A%20Present%20For%20Pat.htm
333,A Surface Raid,"surface raid, a",A-Surface-Raid,Philip K.,Dick,12/2/1952,7/1/1955,NULL,12,NULL,https://1999pkdweb.philipdick.com/A%20Surface%20Raid.htm,0,"A SURFACE RAID 12/2/52. Fantastic Universe, July 1955.","12/2/52. Fantastic Universe, July 1955.",12/2/1952,July 1955.,7/1/1955,https://1999pkdweb.philipdick.com/A%20Surface%20Raid.htm
322,A World of Talent,"world of talent, a",A-World-Of-Talent,Philip K.,Dick,6/4/1954,10/1/1954,NULL,12,NULL,https://1999pkdweb.philipdick.com/A%20World%20Of%20Talent.htm,0,"A WORLD OF TALENT (""Two Steps Right"") 6/4/54. Galaxy, Oct 1954.","6/4/54. Galaxy, Oct 1954.",6/4/1954,Oct 1954.,10/1/1954,https://1999pkdweb.philipdick.com/A%20World%20Of%20Talent.htm
371,"A. Lincoln, Simulacrum","a. lincoln, simulacrum","A.-Lincoln,-Simulacrum",Philip K.,Dick,,,NULL,12,NULL,"https://1999pkdweb.philipdick.com/A.%20Lincoln,%20Simulacrum.htm",0,,,,,,"https://1999pkdweb.philipdick.com/A.%20Lincoln,%20Simulacrum.htm"
346,All We Marsmen,all we marsmen,All-We-Marsmen,Philip K.,Dick,,,NULL,12,NULL,https://1999pkdweb.philipdick.com/All%20We%20Marsmen.htm,0,,,,,,https://1999pkdweb.philipdick.com/All%20We%20Marsmen.htm
323,Autofac,autofac,Autofac,Philip K.,Dick,10/11/1954,11/1/1955,NULL,12,NULL,https://1999pkdweb.philipdick.com/autofac.htm,0,"AUTOFAC 10/11/54. Galaxy, Nov 1955.","10/11/54. Galaxy, Nov 1955.",10/11/1954,Nov 1955.,11/1/1955,https://1999pkdweb.philipdick.com/autofac.htm
265,Beyond Lies the Wub,beyond lies the wub,Beyond-Lies-The-Wub,Philip K.,Dick,,7/1/1952,NULL,12,NULL,https://1999pkdweb.philipdick.com/Beyond%20Lies%20The%20Wub.htm,0,"BEYOND LIES THE WUB Planet Stories, July 1952.","Planet Stories, July 1952.",,July 1952.,7/1/1952,https://1999pkdweb.philipdick.com/Beyond%20Lies%20The%20Wub.htm
297,Beyond the Door,beyond the door,Beyond-The-Door,Philip K.,Dick,8/29/1952,1/1/1954,NULL,12,NULL,https://1999pkdweb.philipdick.com/Beyond%20The%20Door.htm,0,"BEYOND THE DOOR 8/29/52. Fantastic Universe, Jan 1954.","8/29/52. Fantastic Universe, Jan 1954.",8/29/1952,Jan 1954.,1/1/1954,https://1999pkdweb.philipdick.com/Beyond%20The%20Door.htm
298,Breakfast at Twilight,breakfast at twilight,Breakfast-At-Twilight,Philip K.,Dick,1/17/1953,7/1/1954,NULL,12,NULL,https://1999pkdweb.philipdick.com/Breakfast%20At%20Twilight.htm,0,"BREAKFAST AT TWILIGHT 1/17/53. Amazing, July 1954.","1/17/53. Amazing, July 1954.",1/17/1953,July 1954.,7/1/1954,https://1999pkdweb.philipdick.com/Breakfast%20At%20Twilight.htm
373,"Cadbury, the Beaver Who Lacked","cadbury, the beaver who lacked","Cadbury,-The-Beaver-Who-Lacked",Philip K.,Dick,12/1/1971,,NULL,12,NULL,"https://1999pkdweb.philipdick.com/Cadbury,%20The%20Beaver%20Who%20Lacked.htm",0,"CADBURY, THE BEAVER WHO LACKED written 12/71 [previously unpublished].",written 12/71 [previously unpublished].,12/1/1971,,,"https://1999pkdweb.philipdick.com/Cadbury,%20The%20Beaver%20Who%20Lacked.htm"
351,Cantata 140,cantata 140,Cantata-140,Philip K.,Dick,,,NULL,12,NULL,https://1999pkdweb.philipdick.com/Cantata%20140.htm,0,,,,,,https://1999pkdweb.philipdick.com/Cantata%20140.htm
324,Captive Market,captive market,Captive-Market,Philip K.,Dick,10/18/1954,4/1/1955,NULL,12,NULL,https://1999pkdweb.philipdick.com/Captive%20Market.htm,0,"CAPTIVE MARKET 10/18/54. If, April 1955.","10/18/54. If, April 1955.",10/18/1954,April 1955.,4/1/1955,https://1999pkdweb.philipdick.com/Captive%20Market.htm
380,"Chains of Air, Web of Aether","chains of air, web of aether","Chains-Of-Air,-Web-Of-Aether",Philip K.,Dick,7/9/1979,1/1/1980,NULL,12,NULL,"https://1999pkdweb.philipdick.com/Chains%20Of%20Air,%20Web%20Of%20Aether.htm",0,"CHAINS OF AIR, WEB OF AETHER (""The Man Who Knew How to Lose"") 7/9/79. Stellar #5, edited by Judy-Lynn del Rey, New York, 1980. [Included in PKD's novel THE DIVINE INVASION .]","7/9/79. Stellar #5, edited by Judy-Lynn del Rey, New York, 1980. [Included in PKD's novel THE DIVINE INVASION .]",7/9/1979,1980,1/1/1980,"https://1999pkdweb.philipdick.com/Chains%20Of%20Air,%20Web%20Of%20Aether.htm"
270,Colony,colony,Colony,Philip K.,Dick,8/11/1952,6/1/1953,NULL,12,NULL,https://1999pkdweb.philipdick.com/colony.htm,0,"COLONY 8/11/52. Galaxy, June 1953.","8/11/52. Galaxy, June 1953.",8/11/1952,June 1953.,6/1/1953,https://1999pkdweb.philipdick.com/colony.htm
301,Exhibit Piece,exhibit piece,Exhibit-Piece,Philip K.,Dick,10/21/1953,8/1/1954,NULL,12,NULL,https://1999pkdweb.philipdick.com/Exhibit%20Piece.htm,0,EXHIBIT PIECE 10/21/53. If Aug 1954.,10/21/53. If Aug 1954.,10/21/1953,Aug 1954.,8/1/1954,https://1999pkdweb.philipdick.com/Exhibit%20Piece.htm
275,Expendable,expendable,Expendable,Philip K.,Dick,,7/1/1953,NULL,12,NULL,https://1999pkdweb.philipdick.com/Expendable.htm,0,"EXPENDABLE (""He Who Waits"") Fantasy & Science Fiction, July 1953.","Fantasy & Science Fiction, July 1953.",,July 1953.,7/1/1953,https://1999pkdweb.philipdick.com/Expendable.htm
342,Explorers We,explorers we,Explorers-We,Philip K.,Dick,5/6/1958,1/1/1959,NULL,12,NULL,https://1999pkdweb.philipdick.com/Explorers%20We.htm,0,"EXPLORERS WE 5/6/58. Fantasy & Science Fiction, Jan 1959.","5/6/58. Fantasy & Science Fiction, Jan 1959.",5/6/1958,Jan 1959.,1/1/1959,https://1999pkdweb.philipdick.com/Explorers%20We.htm
343,Fair Game,fair game,Fair-Game,Philip K.,Dick,4/21/1953,9/1/1959,NULL,12,NULL,https://1999pkdweb.philipdick.com/Fair%20Game.htm,0,"FAIR GAME 4/21/53. If, Sept 1959.","4/21/53. If, Sept 1959.",4/21/1953,Sept 1959.,9/1/1959,https://1999pkdweb.philipdick.com/Fair%20Game.htm
367,Faith of Our Fathers,faith of our fathers,Faith-Of-Our-Fathers,Philip K.,Dick,1/17/1966,1/1/1967,NULL,12,NULL,https://1999pkdweb.philipdick.com/Faith%20Of%20Our%20Fathers.htm,0,"FAITH OF OUR FATHERS 1/17/66. Dangerous Visions, edited by Harlan Ellison, Garden City, 1967. [Hugo Award nominee]","1/17/66. Dangerous Visions, edited by Harlan Ellison, Garden City, 1967. [Hugo Award nominee]",1/17/1966,1967,1/1/1967,https://1999pkdweb.philipdick.com/Faith%20Of%20Our%20Fathers.htm
385,"Fawn, Look Back","fawn, look back","Fawn,-Look-Back",Philip K.,Dick,,,NULL,12,NULL,https://1999pkdweb.philipdick.com/Fawn%20Look%20Back.htm,0,,,,,,https://1999pkdweb.philipdick.com/Fawn%20Look%20Back.htm
326,"Foster, You’re Dead!","foster, you’re dead!","Foster,-You’re-Dead!",Philip K.,Dick,12/31/1953,1/1/1955,NULL,12,NULL,https://1999pkdweb.philipdick.com/Foster%20Youre%20Dead.htm,0,"FOSTER, YOU'RE DEAD 12/31/53. Star Science Fiction Stories No 3, edited by Frederik Pohl, New York, 1955.","12/31/53. Star Science Fiction Stories No 3, edited by Frederik Pohl, New York, 1955.",12/31/1953,1955,1/1/1955,https://1999pkdweb.philipdick.com/Foster%20Youre%20Dead.htm
387,"Goodbye, Vincent","goodbye, vincent","Goodbye,-Vincent",Philip K.,Dick,,,NULL,12,NULL,"https://1999pkdweb.philipdick.com/Goodbye,%20Vincent.htm",0,,,,,,"https://1999pkdweb.philipdick.com/Goodbye,%20Vincent.htm"
364,Holy Quarrel,holy quarrel,Holy-Quarrel,Philip K.,Dick,9/13/1965,5/1/1966,NULL,12,NULL,https://1999pkdweb.philipdick.com/Holy%20Quarrel.htm,0,"HOLY QUARREL 9/13/65. Worlds of Tomorrow, May 1966.","9/13/65. Worlds of Tomorrow, May 1966.",9/13/1965,May 1966.,5/1/1966,https://1999pkdweb.philipdick.com/Holy%20Quarrel.htm
328,Human Is,human is,Human-Is,Philip K.,Dick,2/2/1953,12/1/1955,NULL,12,NULL,https://1999pkdweb.philipdick.com/Human%20Is.htm,0,"HUMAN IS 2/2/53. Startling Stories, Winter 1955.","2/2/53. Startling Stories, Winter 1955.",2/2/1953,Winter 1955.,12/1/1955,https://1999pkdweb.philipdick.com/Human%20Is.htm
378,I Hope I Shall Arrive Soon,i hope i shall arrive soon,I-Hope-I-Shall-Arrive-Soon,Philip K.,Dick,4/24/1980,12/1/1980,NULL,12,NULL,https://1999pkdweb.philipdick.com/I%20HOPE%20I%20SHALL%20ARRIVE%20SOON.htm,0,"I HOPE I SHALL ARRIVE SOON (titled ""Frozen Journey"" in its magazine appearance; ""I Hope I Shall Arrive Soon"" is PKD's title) 4/24/80. Playboy, Dec 1980. [Playboy Award winner]","4/24/80. Playboy, Dec 1980. [Playboy Award winner]",4/24/1980,Dec 1980.,12/1/1980,https://1999pkdweb.philipdick.com/I%20HOPE%20I%20SHALL%20ARRIVE%20SOON.htm
348,If There Were No Benny Cemoli,if there were no benny cemoli,If-There-Were-No-Benny-Cemoli,Philip K.,Dick,2/27/1963,12/1/1963,NULL,12,NULL,https://1999pkdweb.philipdick.com/If%20There%20Were%20No%20Benny%20Cemoli.htm,0,"IF THERE WERE NO BENNY CEMOLI (""Had There Never Been A Benny Cemoli"") 2/27/63. Galaxy, Dec 1963.","2/27/63. Galaxy, Dec 1963.",2/27/1963,Dec 1963.,12/1/1963,https://1999pkdweb.philipdick.com/If%20There%20Were%20No%20Benny%20Cemoli.htm
280,Impostor,impostor,Impostor,Philip K.,Dick,2/24/1953,6/1/1953,NULL,12,NULL,https://1999pkdweb.philipdick.com/impostor.htm,0,"IMPOSTER 2/24/53. Astounding, June 1953.","2/24/53. Astounding, June 1953.",2/24/1953,June 1953.,6/1/1953,https://1999pkdweb.philipdick.com/impostor.htm
304,James P. Crow,james p. crow,James-P.-Crow,Philip K.,Dick,3/17/1953,5/1/1954,NULL,12,NULL,https://1999pkdweb.philipdick.com/James%20P%20Crow.htm,0,"JAMES P. CROW 3/17/53. Planet Stories, May 1954.","3/17/53. Planet Stories, May 1954.",3/17/1953,May 1954.,5/1/1954,https://1999pkdweb.philipdick.com/James%20P%20Crow.htm
