"267","The Little Movement","little movement, the","The-Little-Movement","Philip K.","Dick",NULL,"1952-11-01",NULL,"12",NULL,"https://1999pkdweb.philipdick.com/The%20Little%20Movement.htm","0","2022-01-09 22:04:42"
"268","The Variable Man","variable man, the","The-Variable-Man","Philip K.","Dick",NULL,"1953-07-01",NULL,"12",NULL,"https://1999pkdweb.philipdick.com/THE%20VARIABLE%20MAN.htm","0","2022-01-09 22:04:42"
"269","The Builder","builder, the","The-Builder","Philip K.","Dick","1952-07-23","1953-12-01",NULL,"12",NULL,"https://1999pkdweb.philipdick.com/The%20Builder.htm","0","2022-01-09 22:04:42"
"270","Colony","colony","Colony","Philip K.","Dick","1952-08-11","1953-06-01",NULL,"12",NULL,"https://1999pkdweb.philipdick.com/colony.htm","0","2022-01-09 22:04:41"
"271","The Commuter","commuter, the","The-Commuter","Philip K.","Dick","1952-11-19","1953-08-01",NULL,"12",NULL,"https://1999pkdweb.philipdick.com/The%20Commuter.htm","0","2022-01-09 22:04:42"
"272","The Cookie Lady","cookie lady, the","The-Cookie-Lady","Philip K.","Dick","1952-08-27","1953-06-01",NULL,"12",NULL,NULL,"0","2022-01-09 22:04:42"
"273","The Cosmic Poachers","cosmic poachers, the","The-Cosmic-Poachers","Philip K.","Dick","1952-10-22","1953-07-01",NULL,"12",NULL,"https://1999pkdweb.philipdick.com/The%20Cosmic%20Poachers.htm","0","2022-01-09 22:04:42"
"274","The Defenders","defenders, the","The-Defenders","Philip K.","Dick",NULL,"1953-01-01",NULL,"12",NULL,"https://1999pkdweb.philipdick.com/The%20Defenders.htm","0","2022-01-09 22:04:42"
"275","Expendable","expendable","Expendable","Philip K.","Dick",NULL,"1953-07-01",NULL,"12",NULL,"https://1999pkdweb.philipdick.com/Expendable.htm","0","2022-01-09 22:04:41"
"276","The Eyes Have It","eyes have it, the","The-Eyes-Have-It","Philip K.","Dick","1953-05-13","1953-01-01",NULL,"12",NULL,"https://1999pkdweb.philipdick.com/The%20Eyes%20Have%20It.htm","0","2022-01-09 22:04:42"
"277","The Great C","great c, the","The-Great-C","Philip K.","Dick","1952-07-31","1953-09-01",NULL,"12",NULL,"https://1999pkdweb.philipdick.com/The%20Great%20C.htm","0","2022-01-09 22:04:42"
"278","The Hanging Stranger","hanging stranger, the","The-Hanging-Stranger","Philip K.","Dick","1953-05-04","1953-12-01",NULL,"12",NULL,"https://1999pkdweb.philipdick.com/The%20Hanging%20Stranger.htm","0","2022-01-09 22:04:42"
"279","The Impossible Planet","impossible planet, the","The-Impossible-Planet","Philip K.","Dick","1953-02-11","1953-10-01",NULL,"12",NULL,"https://1999pkdweb.philipdick.com/The%20Impossible%20Planet.htm","0","2022-01-09 22:04:42"
"280","Impostor","impostor","Impostor","Philip K.","Dick","1953-02-24","1953-06-01",NULL,"12",NULL,"https://1999pkdweb.philipdick.com/impostor.htm","0","2022-01-09 22:04:41"
"281","The Indefatigable Frog","indefatigable frog, the","The-Indefatigable-Frog","Philip K.","Dick",NULL,"1953-07-01",NULL,"12",NULL,"https://1999pkdweb.philipdick.com/The%20Indefatigable%20Frog.htm","0","2022-01-09 22:04:42"
"282","The Infinites","infinites, the","The-Infinites","Philip K.","Dick",NULL,"1953-05-01",NULL,"12",NULL,"https://1999pkdweb.philipdick.com/The%20Infinities.htm","0","2022-01-09 22:04:42"
"283","The King of the Elves","king of the elves, the","The-King-Of-The-Elves","Philip K.","Dick","1952-08-04","1953-09-01",NULL,"12",NULL,"https://1999pkdweb.philipdick.com/The%20King%20Of%20The%20Elves.htm","0","2022-01-09 22:04:42"
"284","Martians Come in Clouds","martians come in clouds","Martians-Come-In-Clouds","Philip K.","Dick","1952-11-05","1954-06-01",NULL,"12",NULL,"https://1999pkdweb.philipdick.com/Martians%20Come%20In%20Clouds.htm","0","2022-01-09 22:04:41"
"285","Mr. Spaceship","mr. spaceship","Mr-Spaceship","Philip K.","Dick",NULL,"1953-01-01",NULL,"12",NULL,"https://1999pkdweb.philipdick.com/Mr%20Spaceship.htm","0","2022-01-09 22:04:41"
"286","Out in the Garden","out in the garden","Out-In-The-Garden","Philip K.","Dick","1952-07-31","1953-08-01",NULL,"12",NULL,"https://1999pkdweb.philipdick.com/Out%20In%20The%20Garden.htm","0","2022-01-09 22:04:41"
"287","Paycheck","paycheck","Paycheck","Philip K.","Dick","1952-07-31","1953-06-01",NULL,"12",NULL,"https://1999pkdweb.philipdick.com/paycheck.htm","0","2022-01-09 22:04:41"
"288","Piper in the Woods","piper in the woods","Piper-In-The-Woods","Philip K.","Dick",NULL,"1953-02-01",NULL,"12",NULL,"https://1999pkdweb.philipdick.com/Piper%20In%20The%20Woods.htm","0","2022-01-09 22:04:41"
"289","Planet for Transients","planet for transients","Planet-For-Transients","Philip K.","Dick","1953-03-23","1953-10-01",NULL,"12",NULL,"https://1999pkdweb.philipdick.com/Planet%20For%20Transients.htm","0","2022-01-09 22:04:41"
